"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-02-26-001187","BPA1","2022-02-26","2022-04-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-24-000536","BPA2","2022-01-24","2022-01-27","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002788","BPA1","2022-04-23",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-04-27-002922","BPA1","2022-04-27","2022-04-27","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-07-002341","BPA1","2022-04-07","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002460","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-20-003756","BPA1","2022-05-20",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-03-13-001644","BPA1","2022-03-13","2022-03-13","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001499","BPA3","2022-03-08","2022-04-22","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000471","BPA1","2022-01-21","2022-01-21","APPROVED","BP/BMC/000088","2022-04-04"
"Cuttack","BP-CTC-2022-04-20-002670","BPA1","2022-04-20","2022-04-20","APPROVED","BP/CTC/000124","2022-04-26"
"Bhubaneswar","BP-BMC-2022-04-12-002469","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001306","BPA1","2022-03-02","2022-03-03","APPROVED","BP/BDA/000118","2022-04-23"
"Bhubaneswar","BP-BMC-2022-04-21-002708","BPA1","2022-04-21","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-09-002381","BPA1","2022-04-09","2022-04-09","APPROVED","BP/BED/000139","2022-04-29"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-20-003790","BPA1","2022-05-20",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-08-002363","BPA1","2022-04-08","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-09-002385","BPA1","2022-04-09","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000703","BPA1","2022-02-07","2022-02-07","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-04-002182","BPA2","2022-04-04","2022-04-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002789","BPA2","2022-04-23",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001880","BPA1","2022-03-22","2022-03-25","APPROVED","BP/RRK/000153","2022-05-02"
"Berhampur","BP-BAM-2022-04-01-002107","BPA1","2022-04-01","2022-04-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Rourkela","BP-RRK-2022-03-24-001913","BPA1","2022-03-24","2022-03-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001397","BPA1","2022-03-05","2022-03-05","APPROVED","BP/BAM/000105","2022-04-12"
"Rourkela","BP-RRK-2022-03-28-001979","BPA1","2022-03-28","2022-03-29","APPROVED","BP/RRK/000089","2022-04-05"
"Bhubaneswar","BP-BMC-2022-03-23-001906","BPA1","2022-03-23","2022-03-23","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-10-003461","BPA1","2022-05-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002364","BPA2","2022-04-08","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-07-003315","BPA1","2022-05-07",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-03-26-001965","BPA1","2022-03-26","2022-03-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Rourkela","BP-RRK-2022-03-30-002036","BPA1","2022-03-30","2022-03-30","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-03-14-001663","BPA1","2022-03-14","2022-03-14","APPROVED","BP/BAM/000092","2022-04-07"
"Rourkela","BP-RRK-2022-03-22-001884","BPA1","2022-03-22","2022-03-22","APPROVED","BP/RRK/000162","2022-05-06"
"Bhubaneswar","BP-BMC-2022-04-12-002473","BPA1","2022-04-12","2022-04-12","APPROVAL_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-04-14-002527","BPA1","2022-04-14","2022-04-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-26-000545","BPA1","2022-01-26","2022-02-09","APPROVED","BP/BDA/000101","2022-04-11"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-07-003318","BPA1","2022-05-07","2022-05-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-07-003319","BPA1","2022-05-07","2022-05-10","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003071","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000185","2022-05-12"
"Berhampur","BP-BAM-2022-05-17-003658","BPA1","2022-05-17","2022-05-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
